model,keep,arm,seed,status,global_step,total_updates,training_examples,parameters,learning_rate,distill_alpha,ms_per_update,gpu_processes,subset_method,subset_sha256,baseline_sha256,masks_sha256
afrcnn12,1000,S1,13,completed,40000,40000,1000,3059372,0.001,,712.86,2,random,d54b945e50e20dfa,6f9dc2c700b03ed3,13a774ee64c587ac
afrcnn12,1000,S1,2026,completed,40000,40000,1000,3059372,0.001,,347.35,6,random,7e8c7eedb3f7922c,6f9dc2c700b03ed3,13a774ee64c587ac
afrcnn12,1000,S1,42,completed,40000,40000,1000,3059372,0.001,,701.51,12,random,f84f21cdeaf38f2d,6f9dc2c700b03ed3,13a774ee64c587ac
afrcnn12,1000,S1,7,completed,40000,40000,1000,3059372,0.001,,702.76,8,random,1b37230791199905,6f9dc2c700b03ed3,13a774ee64c587ac
afrcnn12,1000,S1,99,completed,40000,40000,1000,3059372,0.001,,712.72,3,random,a65b478b7a45224c,6f9dc2c700b03ed3,13a774ee64c587ac
afrcnn12,1000,S2,13,completed,40000,40000,1000,3059372,0.001,,712.72,4,hard,3273f8bcc545e708,6f9dc2c700b03ed3,13a774ee64c587ac
afrcnn12,1000,S2,2026,completed,40000,40000,1000,3059372,0.001,,702.72,8,hard,36a347260d1cb34c,6f9dc2c700b03ed3,13a774ee64c587ac
afrcnn12,1000,S2,42,completed,40000,40000,1000,3059372,0.001,,701.87,11,hard,95710d9df6197d97,6f9dc2c700b03ed3,13a774ee64c587ac
afrcnn12,1000,S2,7,completed,40000,40000,1000,3059372,0.001,,713.03,1,hard,35105722e21487cc,6f9dc2c700b03ed3,13a774ee64c587ac
afrcnn12,1000,S2,99,completed,40000,40000,1000,3059372,0.001,,700.36,14,hard,b7489acc0308aeb9,6f9dc2c700b03ed3,13a774ee64c587ac
afrcnn12,1000,S3,13,completed,40000,40000,1000,3059372,0.001,,258.94,4,gap_db,1d2b33419b693e7b,6f9dc2c700b03ed3,13a774ee64c587ac
afrcnn12,1000,S3,2026,completed,40000,40000,1000,3059372,0.001,,259.04,3,gap_db,28d4533832953924,6f9dc2c700b03ed3,13a774ee64c587ac
afrcnn12,1000,S3,42,completed,40000,40000,1000,3059372,0.001,,259.64,5,gap_db,0f67444bebae9f26,6f9dc2c700b03ed3,13a774ee64c587ac
afrcnn12,1000,S3,7,completed,40000,40000,1000,3059372,0.001,,258.89,2,gap_db,efe7aed32aeaca49,6f9dc2c700b03ed3,13a774ee64c587ac
afrcnn12,1000,S3,99,completed,40000,40000,1000,3059372,0.001,,258.98,1,gap_db,3d229ce17ce90e06,6f9dc2c700b03ed3,13a774ee64c587ac
afrcnn12,1000,S3p,13,completed,40000,40000,1000,3059372,0.001,,700.6,13,gap_rank,84682dcc54a72943,6f9dc2c700b03ed3,13a774ee64c587ac
afrcnn12,1000,S3p,2026,completed,40000,40000,1000,3059372,0.001,,702.14,10,gap_rank,70cdc3606466c0b3,6f9dc2c700b03ed3,13a774ee64c587ac
afrcnn12,1000,S3p,42,completed,40000,40000,1000,3059372,0.001,,702.38,9,gap_rank,bd719180d629bc77,6f9dc2c700b03ed3,13a774ee64c587ac
